label,n,instance_seed,sa_best,sa_avg,sa_time_avg,aco_best,aco_avg,aco_time_avg
small,20,1,4130.553213472369,4190.878990952884,0.16377181999851018,4130.553213472366,4130.553213472366,0.1829188199946657
small,20,2,3622.843628174959,3627.8522892997553,0.16872206004336476,3622.843628175002,3622.8436281750023,0.18043302001897246
small,20,3,3960.273852567343,3976.7195061246457,0.17036614003591238,3960.2738525674263,3960.2738525674267,0.1894001999637112
medium,50,1,6356.381875622557,6437.984046196949,0.938990159984678,6358.673739777685,6390.595289005068,2.085539500019513
medium,50,2,5687.047713678,5853.531390393489,0.8863830199930817,5656.2503053990595,5669.531099676694,1.9842648799763993
medium,50,3,5585.457228407812,5672.564296090231,0.8767899199854583,5446.239624306946,5532.316866049145,2.1236390799749643
large,200,1,11031.161977859887,11215.414273766737,6.555806259997189,10794.21572154774,10858.717380743135,89.84644250001293
large,200,2,11505.004022902222,11569.085330410977,6.457932020002045,10803.58777160615,10854.623053194058,89.02375597998034
large,200,3,11205.613788368672,11278.108058076534,6.3049489400116725,10695.55676763166,10769.833849492736,88.41879646000453
