label,n,instance_seed,sa_best_cost,sa_avg_cost,sa_avg_time_sec,aco_best_cost,aco_avg_cost,aco_avg_time_sec
small,20,1,5919.494989880846,6202.209557395616,0.1385872600134462,4130.553213472364,4130.553213472366,0.43815715999808164
small,20,2,5024.370141924201,5415.773382886237,0.13792083999142052,3622.843628175001,3622.843628175001,0.43497743995394555
small,20,3,5528.373816299547,5951.941248998955,0.1385228600120172,3960.273852567425,3960.273852567426,0.4334689000155777
medium,50,1,12313.220028948268,13038.959788942184,0.3447810200508684,6297.855427954367,6324.197297594918,5.248630800005048
medium,50,2,9730.43676526788,10852.516549247295,0.3393995799589902,5656.250305399061,5659.203592536667,5.223920379998162
medium,50,3,10145.521511921563,11321.143156078437,0.3389884399715811,5446.239624306946,5460.116929983621,5.227874480001629
large,200,1,11214.320817187005,11470.235252204675,1.0154301200527698,10989.617568572467,11028.717018480693,1334.5122640199959
large,200,2,11674.264654523213,11842.674190922919,1.0541617800015957,11173.95842467537,11221.424734303899,233.74846773999744
large,200,3,11712.871311362316,11788.662508422398,1.2228846999816596,11078.485461526043,11138.579887597649,282.8590171799995
