n,instance_seed,opt_cost,opt_time_sec,sa_best_cost,sa_avg_cost,sa_avg_time_sec,aco_best_cost,aco_avg_cost,aco_avg_time_sec,sa_best_ratio,sa_avg_ratio,aco_best_ratio,aco_avg_ratio
10,1,3447.695686296601,0.001867600018158555,3447.69568629655,3457.326093796525,0.09303168000187725,3447.695686296601,3447.695686296601,0.023489900026470424,0.9999999999999852,1.0027932881484296,1.0,1.0
10,2,3011.0839015200445,0.0016609999584034085,3011.083901519989,3013.628941611331,0.09224773996975273,3011.083901520044,3011.083901520044,0.023441920056939125,0.9999999999999816,1.0008452239042565,0.9999999999999999,0.9999999999999999
10,3,3047.99741406053,0.002624099957756698,3047.9974140604913,3059.876297707072,0.09424262000247836,3047.997414060529,3047.9974140605295,0.02348943999968469,0.9999999999999873,1.0038972748440482,0.9999999999999997,0.9999999999999999
12,1,3626.7119997487343,0.010693600052036345,3683.909446426266,3845.4287282782925,0.0884289999725297,3626.7119997487343,3626.7119997487343,0.03885221998207271,1.0157711576440298,1.06030716763413,1.0,1.0
12,2,3113.5896776752643,0.010458400007337332,3190.8271543087158,3278.727088411366,0.09051461999770254,3113.5896776752643,3113.5896776752643,0.03876813999377191,1.0248065688254466,1.0530376278930242,1.0,1.0
12,3,3103.0436427627765,0.010578799992799759,3162.2856831409554,3301.278523103836,0.08897045999765396,3103.0436427627765,3103.0436427627765,0.039605579990893605,1.0190915910951974,1.0638840129765506,1.0,1.0
14,1,3800.680996212786,0.0625983999343589,3933.338823271353,4381.727832251133,0.08704885998740793,3800.6809962127854,3800.6809962127854,0.05966067998670042,1.0349036994135405,1.1528796646225599,0.9999999999999999,0.9999999999999999
14,2,3438.8051371929323,0.06586860003881156,3678.3326594736873,3851.4367214331173,0.0870107400463894,3438.8051371929314,3438.805137192932,0.059797980030998586,1.0696542876739679,1.119992720662565,0.9999999999999998,0.9999999999999999
14,3,3233.6678316888,0.06195370003115386,3565.6707224322795,4007.666477948099,0.08817031998187304,3233.667831688799,3233.667831688799,0.05975443997886032,1.102670684814924,1.23935626246901,0.9999999999999997,0.9999999999999997
