label,n,instance_seed,sa_best,sa_avg,sa_time_avg,aco_best,aco_avg,aco_time_avg
small,20,1,4130.553213472369,4190.878990952884,0.16325549995526673,4130.553213472366,4130.553213472366,0.18898758003488184
small,20,2,3622.843628174959,3627.8522892997553,0.1568472000071779,3622.843628175002,3622.8436281750023,0.18019391999114304
small,20,3,3960.273852567343,3976.7195061246457,0.15711502002086492,3960.2738525674263,3960.2738525674267,0.18436215999536215
medium,50,1,6356.381875622557,6437.984046196949,0.8866811399813741,6358.673739777685,6390.595289005068,1.9803245599614456
medium,50,2,5687.047713678,5853.531390393489,0.9024490799987689,5656.2503053990595,5669.531099676694,1.9248173999832943
medium,50,3,5585.457228407812,5672.564296090231,0.8969569399952888,5446.239624306946,5532.316866049145,1.9310164800146594
large,200,1,53895.21949793487,60076.802483953004,6.143783219973557,10794.21572154774,10858.717380743135,67.87378075995949
large,200,2,63896.79328202958,66181.66478407403,6.21146362000145,10803.58777160615,10854.623053194058,67.75022400000599
large,200,3,53395.84970627363,63384.75196897687,6.002872339985333,10695.55676763166,10769.833849492736,67.30064872000366
