n,instance_seed,opt_cost,opt_time_sec
10,1,3447.695686296601,0.001867600018158555
10,2,3011.0839015200445,0.0016609999584034085
10,3,3047.99741406053,0.002624099957756698
12,1,3626.7119997487343,0.010693600052036345
12,2,3113.5896776752643,0.010458400007337332
12,3,3103.0436427627765,0.010578799992799759
14,1,3800.680996212786,0.0625983999343589
14,2,3438.8051371929323,0.06586860003881156
14,3,3233.6678316888,0.06195370003115386
